date,exdate,cp_flag,spot_price,strike_price,tau (time to maturity),market_mid_price,model_price,abs_error,sq_error,scheme,error_message
2025-07-01,2025-08-01,P,300.71,315.0,0.084931506849315,29.0,28.311201217088076,0.688798782911924,0.4744437633409478,explicit,
2025-07-01,2025-08-01,P,300.71,315.0,0.084931506849315,29.0,28.316435787928647,0.683564212071353,0.46726003202472965,explicit,
2025-07-01,2025-08-01,C,300.71,320.0,0.084931506849315,15.175,15.285847295980297,0.11084729598029597,0.012287123026143338,explicit,
2025-07-01,2025-08-01,C,300.71,320.0,0.084931506849315,15.175,15.282718736405215,0.10771873640521434,0.01160332617273605,explicit,
2025-07-01,2025-08-01,P,300.71,320.0,0.084931506849315,32.2,32.4152526458172,0.21525264581719483,0.04633370153130272,explicit,
2025-07-01,2025-08-01,P,300.71,320.0,0.084931506849315,32.2,32.420980779820454,0.22098077982045083,0.04883250505005457,explicit,
2025-07-01,2025-08-01,C,300.71,325.0,0.084931506849315,13.525,13.902344779436419,0.3773447794364184,0.14238908256791927,explicit,
2025-07-01,2025-08-01,C,300.71,325.0,0.084931506849315,13.525,13.899414468448768,0.3744144684487676,0.14018619418377318,explicit,
2025-07-01,2025-08-01,C,300.71,330.0,0.084931506849315,12.075,11.657533706222658,0.41746629377734124,0.17427810644018937,explicit,
2025-07-01,2025-08-01,C,300.71,330.0,0.084931506849315,12.075,11.654921262918005,0.42007873708199384,0.1764661453484029,explicit,
2025-07-01,2025-08-01,C,300.71,335.0,0.084931506849315,10.725,10.467917912787087,0.2570820872129129,0.06609119956574777,explicit,
2025-07-01,2025-08-01,C,300.71,335.0,0.084931506849315,10.725,10.465505682454232,0.25949431754576757,0.06733730083854365,explicit,
2025-07-01,2025-08-01,C,300.71,340.0,0.084931506849315,9.55,9.34871780121548,0.20128219878452036,0.04051452354753117,explicit,
2025-07-01,2025-08-01,C,300.71,340.0,0.084931506849315,9.55,9.34648384035,0.20351615965000036,0.04141882723868443,explicit,
2025-07-01,2025-08-01,C,300.71,345.0,0.084931506849315,8.5,8.308645310925932,0.1913546890740676,0.03661661703063309,explicit,
2025-07-01,2025-08-01,C,300.71,345.0,0.084931506849315,8.5,8.306609666651095,0.19339033334890487,0.03739982103280055,explicit,
2025-07-01,2025-08-01,C,300.71,350.0,0.084931506849315,7.575,7.347512854303508,0.2274871456964922,0.051750401457137066,explicit,
2025-07-01,2025-08-01,C,300.71,350.0,0.084931506849315,7.575,7.345649032391368,0.2293509676086325,0.052601866343015995,explicit,
2025-07-01,2025-08-01,C,300.71,355.0,0.084931506849315,6.75,6.468764565122285,0.28123543487771485,0.0790933698308574,explicit,
2025-07-01,2025-08-01,C,300.71,355.0,0.084931506849315,6.75,6.4670861338457435,0.2829138661542565,0.08004025566234857,explicit,
2025-07-01,2025-08-01,C,300.71,360.0,0.084931506849315,6.025,6.257458994645467,0.2324589946454667,0.05403718419158112,explicit,
2025-07-01,2025-08-01,C,300.71,360.0,0.084931506849315,6.025,6.2558216662992265,0.23082166629922618,0.053278641633151325,explicit,
2025-07-01,2025-08-01,C,300.71,365.0,0.084931506849315,5.375,5.482163440241307,0.1071634402413073,0.011484002924352242,explicit,
2025-07-01,2025-08-01,C,300.71,365.0,0.084931506849315,5.375,5.480698959742295,0.10569895974229482,0.01117227009060326,explicit,
2025-07-01,2025-08-01,C,300.71,370.0,0.084931506849315,4.8,4.777112221756153,0.022887778243847023,0.0005238503929395172,explicit,
