date,exdate,cp_flag,spot_price,strike_price,tau (time to maturity),market_mid_price,model_price,scheme,lambda_jump,jump_mean,jump_std,abs_error,sq_error
2025-08-18,2025-09-19,P,6449.15,6000.0,0.0876712328767123,14.75,16.054288335275853,imex_euler,0.01,-0.005,0.03,1.304288335275853,1.7011680615366558
2025-08-18,2025-09-19,P,6449.15,6000.0,0.0876712328767123,14.75,16.109446281650488,imex_euler,0.01,-0.005,0.03,1.359446281650488,1.8480941926933379
2025-08-18,2025-09-19,P,6449.15,6300.0,0.0876712328767123,43.05,43.96498689652774,imex_euler,0.01,-0.005,0.03,0.9149868965277435,0.8372010208174715
2025-08-18,2025-09-19,P,6449.15,6300.0,0.0876712328767123,43.05,44.11950380617001,imex_euler,0.01,-0.005,0.03,1.0695038061700117,1.143838391412142
2025-08-18,2025-09-19,P,6449.15,6400.0,0.0876712328767123,64.15,59.05358144538035,imex_euler,0.01,-0.005,0.03,5.096418554619653,25.973482083871474
2025-08-18,2025-09-19,P,6449.15,6400.0,0.0876712328767123,64.15,59.27696839071245,imex_euler,0.01,-0.005,0.03,4.873031609287558,23.74643706511569
2025-08-18,2025-10-17,P,6449.15,4600.0,0.1643835616438356,4.6,5.280995659550927,imex_euler,0.01,-0.005,0.03,0.680995659550927,0.4637550883272021
2025-08-18,2025-10-17,P,6449.15,4600.0,0.1643835616438356,4.6,5.299415826354463,imex_euler,0.01,-0.005,0.03,0.6994158263544632,0.4891824981550966
2025-08-18,2025-10-17,P,6449.15,6400.0,0.1643835616438356,99.85,97.25811225970563,imex_euler,0.01,-0.005,0.03,2.591887740294368,6.717882058288245
2025-08-18,2025-10-17,P,6449.15,6400.0,0.1643835616438356,99.85,97.68239521731182,imex_euler,0.01,-0.005,0.03,2.167604782688173,4.698510493932641
2025-08-19,2025-09-19,P,6411.37,5800.0,0.084931506849315,9.8,11.584784741263624,imex_euler,0.01,-0.005,0.03,1.784784741263623,3.185456572647458
2025-08-19,2025-09-19,P,6411.37,5800.0,0.084931506849315,9.8,11.618920203881515,imex_euler,0.01,-0.005,0.03,1.8189202038815147,3.308470708088371
2025-08-19,2025-09-19,P,6411.37,6300.0,0.084931506849315,53.75,49.641406265335405,imex_euler,0.01,-0.005,0.03,4.108593734664595,16.880542476525164
